"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"69","ELASYL","1.31723952424127","1.23699165731208","1.21052218096842","1.24039591433306","1.25401558336139","1.23410041177776","1.30809007464762","1.37670524576446","0.274","0.232","0.176","0.064","0.034","0.016","0.002","0.002","0.999405825274742","1.16767587604241","1.36569581094651","1.88090748276019","2.32907621038804","2.54487705240991","3.93097230754048","5.3293969122962","3"
"70","ENGFEN","1.01984290773852","1.01820459617326","1.0161995406725","1.018030878474","1.02110137484653","1.01986397885076","1.02043029557861","1.01976831995242","0.102","0.012","0.01","0.002","0.002","0.002","0.002","0.002","1.60157481338982","2.39795704018811","2.74882389172756","3.76429712142876","5.24517928749056","5.82619609541083","6.78912147750176","7.21699180374131","1741"
"71","ENGROX","0.980407757783841","0.994275250662538","1.01206320846145","1.02853847246787","1.05043672915311","1.0527176584893","1.05317680409386","1.05484123374189","0.71","0.876","0.534","0.102","0.002","0.002","0.002","0.002","-0.403157661101865","-0.156053145367488","0.600702416820899","1.66209648515458","3.30972888270017","4.0349758933253","4.50855628546326","5.13879101142711","149"
"72","ENKSER","1.66489316011212","1.38158236062823","1.22574188914434","1.12071333704238","1.07736514804916","1.03592816804184","1.00523283445502","1.0073205889607","0.002","0.002","0.002","0.002","0.002","0.052","0.672","0.58","11.9972707123329","11.1702323879988","8.42292549960668","5.56651477315707","4.06829881498302","2.16139952611609","0.379831975078056","0.536491172043747","84"
"73","ERIFRA","1.03889080028563","1.02874268616179","1.01331574046846","1.01793872279802","1.02199091872223","1.02629686638223","1.03281037175924","1.03182891158623","0.312","0.272","0.526","0.296","0.172","0.062","0.006","0.006","0.974265383722436","1.07625613245319","0.6181296397774","1.04599714964428","1.4525781262078","2.00408570658653","2.72228016499448","2.95198915734369","146"
"74","EUNJAP","0.617524436249665","1.0400010332192","0.933333521093684","1.02629896198505","1.07138908266155","1.17626719992336","1.20700622449711","1.15161142325754","0.424","0.856","0.802","0.888","0.716","0.264","0.168","0.268","-0.962649251381622","0.186225967068961","-0.253554824239593","0.179854752303128","0.444405146932241","1.11448053293064","1.4109556263317","1.1354177503772","2"
"75","EUOKWA","1.87368148032512","1.56110323239163","1.38290518371654","1.38334559290153","1.37363282686985","1.30221511823511","1.30827121561474","1.25402333339151","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","4.98544373684187","4.89744573718603","4.15553937865786","4.97444785104382","5.68548081446898","5.19268270139718","5.84398106563792","5.20285439719581","7"
"76","EUOLAX","1.03875383497352","1.07207711713478","1.042129616746","1.03823462969294","1.02087697159239","1.01158635044156","1.00639114828546","1.00451157193288","0.196","0.002","0.012","0.012","0.064","0.24","0.442","0.54","1.26779546542247","3.61740810067511","2.67060446048121","2.95972853597267","1.87456349920213","1.18406992851574","0.735754654630181","0.601241836608527","236"
"77","EURACM","1.03416939650202","1.01581060584603","1.02981330323885","1.03597259172632","1.03442968033121","1.03314886845192","1.02878224376444","1.02428367806791","0.022","0.102","0.002","0.002","0.002","0.002","0.002","0.002","2.34184448985603","1.74316913141577","4.25762515187051","6.22153442428754","7.0041340640395","7.97711737751409","7.69369841322868","7.16526846282943","1403"
"78","EURAUR","0.869469980380915","0.916062606629593","0.943676009586486","0.983176459093714","1.03208428315413","1.03966727915651","1.04137033415408","1.04869785854355","0.02","0.018","0.06","0.482","0.138","0.026","0.008","0.002","-2.20717856118871","-2.16116088958432","-1.88981942585971","-0.706658424515562","1.59452583099902","2.29390900210634","2.77345773673303","3.65683548067443","73"
