"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"56","ARYTLI","1.1165402297989","1.16405418608071","1.11749521092994","1.11533069702509","1.10281612077396","1.08974840284718","1.07664342994091","1.06145032579373","0.228","0.008","0.02","0.018","0.018","0.026","0.034","0.076","1.24127270034583","2.67414224940682","2.22674337157965","2.44530696860371","2.42906500653023","2.34284142455327","2.16632567287375","1.86089863204534","30"
"57","ASTRAC","0.752728227958762","0.746263761250188","0.769514095638253","0.775597532383377","0.783470498842008","0.789355731073586","0.798659718030065","0.809784515456484","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-5.83830764430347","-8.52355997966617","-8.78717804484511","-9.29536078470393","-9.75143758537812","-10.2740777710056","-10.6180815693748","-10.6968935381367","135"
"58","ASTRMO","0.994063964033147","0.848242163711585","0.800646775480298","0.792611452727837","0.818692795274738","0.80598024998704","0.803075658011976","0.811252494717028","1","0.116","0.016","0.008","0.016","0.006","0.004","0.004","-0.0832094458418923","-1.52230629917679","-2.36424196041776","-2.71032590866165","-2.51458417804537","-2.8359103013563","-3.0264308576921","-3.04819854898482","13"
"59","BAMB01","0.783037874043058","0.835966495515954","0.8911431333961","0.915162466534089","0.921961809867658","0.918456827946786","0.923877624085562","0.921275229769475","0.002","0.002","0.002","0.006","0.008","0.004","0.002","0.002","-3.64333894830417","-4.06703442213228","-3.22252770874479","-2.81000971510899","-2.81084776234001","-3.15789497161067","-3.17962091981167","-3.53959733928674","66"
"60","BAMBFO","0.831987857110423","0.914400989443514","0.93036477834675","0.946401287000965","0.955364098413548","0.956704471475198","0.961150984750309","0.962154232151689","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-8.18038434384798","-5.98804164423001","-6.03039277221827","-5.26290599041456","-4.87639111214508","-5.16937109256452","-5.00236239340315","-5.23125146879503","571"
"61","BARRAP","1.01282459554184","1.00778370319586","1.00254926654984","0.998192399070995","0.998819562479686","0.996893663508363","0.996846843601539","0.995880142783833","0.438","0.478","0.832","0.786","0.83","0.598","0.564","0.45","0.764328078074061","0.676459785719698","0.223876865954918","-0.283855810872583","-0.223983399507462","-0.497016345486042","-0.535683713868114","-0.717620400572977","928"
"62","BARRCA","0.883662560659042","1.0222861581384","0.972676514355506","0.966777895148003","0.962771163260125","0.936446747119617","0.933481847045021","0.940220495531692","0.388","0.834","0.718","0.624","0.544","0.27","0.218","0.246","-0.932625729251517","0.263837942669127","-0.381919716282204","-0.507212690334603","-0.597878824907967","-1.10691881458427","-1.22182577269467","-1.15002583545405","15"
"63","BARRNO","0.928564762928894","0.943122830944559","0.948499510941199","0.965423496211699","0.969697101951807","0.965398997105377","0.965758273947685","0.967617051016264","0.012","0.008","0.002","0.02","0.026","0.006","0.006","0.004","-2.40725544390069","-2.70276800595352","-3.02824316790661","-2.25666584309607","-2.12071431055637","-2.57200591902818","-2.72383327065314","-2.73859024495999","254"
"64","BARRRA","1.00455984791988","0.979720599703478","0.99294396250707","1.0186776671173","1.0494609780135","1.05171403126736","1.04898554207409","1.04495138267133","0.982","0.864","0.946","0.75","0.366","0.318","0.312","0.338","0.0501346955370663","-0.187681487851713","-0.0459855367354257","0.335353612033281","0.889396658646497","1.00902063235264","1.02294023602178","1.01170832211047","15"
"65","BOMBCE","0.852173297344531","0.788549386686631","0.777187652247752","0.880739190510503","0.938834313559437","0.981652861825091","1.00093984597368","1.0094841144135","0.402","0.05","0.008","0.12","0.368","0.738","0.98","0.928","-0.910795980088367","-1.88351615826965","-2.46113855820482","-1.56946386216108","-0.909517690163159","-0.328142372112282","-0.0350802869401398","0.107865561172216","9"
